"X1","SampleSite","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","padj"
"1","Point","KC886811.1.1420",15.4421971338616,0.985720283610935,0.380525817208226,0.00958599265183437,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.0450025710485923
"1","Point","FJ612183.1.1494",6.50905184049153,0.731516467166419,0.441346583608748,0.0974255213758114,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Polynucleobacter",NA,0.254854840685069
"1","Point","AM419442.1.1418",4.14399497460258,0.218495368902222,0.654762635262317,0.73860470764607,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium",NA,0.864441065245031
"1","Point","AF368182.1.1369",1.59626392106978,2.05945525715211,0.67085966904265,0.00214148452145422,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,0.0134267680313399
"1","Point","E32645.1.1435",0.877643412013383,-1.13629772780727,1.03617675064581,0.272805186045606,"Bacteria","Cyanobacteria","Chloroplast","Chlorophyta",NA,NA,NA,0.495819241509269
"1","Point","KC358054.1.1268",0.789308392866057,1.05650568759503,1.00392891224583,0.292629361939196,"Bacteria","Proteobacteria","Deltaproteobacteria","Spirobacillales",NA,NA,NA,0.515636868249736
"1","Point","FJ382078.1.1219",0.711708785129644,-0.215572783027413,0.884396694369199,0.807423493094539,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,0.902000319884072
"1","Point","KC574880.1.1496",4.49666942870747,-0.367308369642627,0.350417069714158,0.294544896853446,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",NA,0.516325004099606
"1","Point","HE650039.1.1310",1.01567917978591,-0.670918984075759,1.06068967923675,0.527040031940099,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales",NA,NA,NA,0.721823904115773
"1","Point","KM410814.1.1370",2.71771551700185,-0.38933558001005,0.803894787518687,0.628164736547413,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,0.793295809406389
"1","Point","KC189785.1.1503",2658.67571976188,-1.51385056859457,0.175386112488885,6.05364475622676e-18,"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis",4.48348064758044e-16
"1","Point","JF703583.1.1461",1.08963342654296,-3.2685038252137,0.986605745671126,0.000923414659357583,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,0.00659184561047431
"1","Point","FJ546408.1.1208",27.1790235617909,-0.70568206647415,0.289751481265342,0.0148723121818648,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,0.0626620086595904
"1","Point","EU703207.1.1342",10.4552912679028,2.23838177148884,0.43669199521372,2.96327619281097e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,5.03438320929175e-06
"1","Point","JF204007.1.1357",0.630116088492263,0.486046733878378,0.862943780191095,0.57326967033009,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.753340237694657
"1","Point","JN867666.1.1339",0.591424984698574,3.03870792100464,1.08990324464406,0.0053025881491881,"Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","Gemmata",NA,0.028051638199946
"1","Point","KC189726.1.1502",2.59286253815284,1.88386311833566,0.700967464223356,0.00719850868222667,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,0.035916769635531
